colour	x	xend	y	yend	clickSelects
#0000FF	-3.4455053406258	-3.33358938112664	27	27	learned
#0000FF	-3.33358938112664	-3.00950741944297	26	26	learned
#0000FF	-3.00950741944297	-2.84629320404319	25	25	learned
#0000FF	-2.84629320404319	-2.74691619028106	24	24	learned
#0000FF	-2.74691619028106	-2.72089742386605	23	23	learned
#0000FF	-2.72089742386605	-2.68619710600357	22	22	learned
#0000FF	-2.68619710600357	-2.6558255899863	21	21	learned
#0000FF	-2.6558255899863	-2.61127220910946	20	20	learned
#0000FF	-2.61127220910946	-2.55278887089269	19	19	learned
#0000FF	-2.55278887089269	-2.48423457188811	18	18	learned
#0000FF	-2.48423457188811	-2.23730218808129	17	17	learned
#0000FF	-2.23730218808129	-2.13178679069326	16	16	learned
#0000FF	-2.13178679069326	-1.87468810443524	15	15	learned
#0000FF	-1.87468810443524	-1.87084752656264	14	14	learned
#0000FF	-1.87084752656264	-1.7703266991798	13	13	learned
#0000FF	-1.7703266991798	-1.75850750651845	12	12	learned
#0000FF	-1.75850750651845	-1.7393251890433	11	11	learned
#0000FF	-1.7393251890433	-1.49409250778043	10	10	learned
#0000FF	-1.49409250778043	-1.48219848147468	9	9	learned
#0000FF	-1.48219848147468	-1.36260389633275	8	8	learned
#0000FF	-1.36260389633275	-0.961410221592981	7	7	learned
#0000FF	-0.961410221592981	-0.909927124563525	6	6	learned
#0000FF	-0.909927124563525	-0.843081102112669	5	5	learned
#0000FF	-0.843081102112669	-0.813879672482319	4	4	learned
#0000FF	-0.813879672482319	-0.327263010639225	3	3	learned
#0000FF	-0.327263010639225	-0.190191423688502	2	2	learned
#0000FF	-0.190191423688502	-0.0693402592257638	1	1	learned
#0000FF	-0.0693402592257638	0.144074190116959	2	2	learned
#0000FF	0.144074190116959	0.220380214227557	3	3	learned
#0000FF	0.220380214227557	0.339363606288445	2	2	learned
#0000FF	0.339363606288445	0.591003657954287	3	3	learned
#0000FF	0.591003657954287	0.699582099568466	2	2	learned
#0000FF	0.699582099568466	0.731437892749119	3	3	learned
#0000FF	0.731437892749119	1.132231358582	4	4	learned
#0000FF	1.132231358582	1.26585995694352	5	5	learned
#0000FF	1.26585995694352	1.26729867290876	6	6	learned
#0000FF	1.26729867290876	1.44263781336755	7	7	learned
#0000FF	1.44263781336755	1.64660650349859	8	8	learned
#0000FF	1.64660650349859	2.24537089272665	9	9	learned
#0000FF	2.24537089272665	2.4316800761943	10	10	learned
#0000FF	2.4316800761943	2.44506019184246	11	11	learned
#0000FF	2.44506019184246	2.89896807952735	12	12	learned
