colour	x	xend	y	yend	clickSelects
#FF0000	-5.9870054495402	-5.53309756185531	30	30	BIC
#FF0000	-5.53309756185531	-5.16049517938561	29	29	BIC
#FF0000	-5.16049517938561	-4.81167737988174	28	28	BIC
#FF0000	-4.81167737988174	-4.73680617175392	27	27	BIC
#FF0000	-4.73680617175392	-4.32202845913318	26	26	BIC
#FF0000	-4.32202845913318	-4.27160991010392	25	25	BIC
#FF0000	-4.27160991010392	-4.27092319684901	24	24	BIC
#FF0000	-4.27092319684901	-4.24744888622482	23	23	BIC
#FF0000	-4.24744888622482	-4.15659116968008	22	22	BIC
#FF0000	-4.15659116968008	-4.08569569359347	21	21	BIC
#FF0000	-4.08569569359347	-4.06291557270012	20	20	BIC
#FF0000	-4.06291557270012	-4.0051342432282	19	19	BIC
#FF0000	-4.0051342432282	-3.44802987046209	18	18	BIC
#FF0000	-3.44802987046209	-3.34534711259052	17	17	BIC
#FF0000	-3.34534711259052	-3.29630026242229	16	16	BIC
#FF0000	-3.29630026242229	-3.29050561157024	15	15	BIC
#FF0000	-3.29050561157024	-3.10163655779653	14	14	BIC
#FF0000	-3.10163655779653	-2.83222554048435	13	13	BIC
#FF0000	-2.83222554048435	-2.81739784484889	12	12	BIC
#FF0000	-2.81739784484889	-2.65931744089429	11	11	BIC
#FF0000	-2.65931744089429	-2.61192449867914	10	10	BIC
#FF0000	-2.61192449867914	-2.54796131742997	9	9	BIC
#FF0000	-2.54796131742997	-2.53186176603213	8	8	BIC
#FF0000	-2.53186176603213	-2.3466940334702	7	7	BIC
#FF0000	-2.3466940334702	-2.18741975410657	6	6	BIC
#FF0000	-2.18741975410657	-1.93140434009328	5	5	BIC
#FF0000	-1.93140434009328	-1.62254570035607	4	4	BIC
#FF0000	-1.62254570035607	-1.50114867978514	3	3	BIC
#FF0000	-1.50114867978514	-1.11493665529505	2	2	BIC
#FF0000	-1.11493665529505	-1.07521397908185	3	3	BIC
#FF0000	-1.07521397908185	-0.914355915548539	2	2	BIC
#FF0000	-0.914355915548539	-0.744151404371668	3	3	BIC
#FF0000	-0.744151404371668	-0.607129127375747	4	4	BIC
#FF0000	-0.607129127375747	-0.560158756471819	3	3	BIC
#FF0000	-0.560158756471819	-0.308518704805977	4	4	BIC
#FF0000	-0.308518704805977	-0.220503015245964	3	3	BIC
#FF0000	-0.220503015245964	0.232708995821737	4	4	BIC
#FF0000	0.232708995821737	0.449312646019592	5	5	BIC
#FF0000	0.449312646019592	0.521630062186789	6	6	BIC
#FF0000	0.521630062186789	0.569448731981074	7	7	BIC
#FF0000	0.569448731981074	0.635466787879397	8	8	BIC
#FF0000	0.635466787879397	1.45116129372819	9	9	BIC
#FF0000	1.45116129372819	1.46362028382674	10	10	BIC
#FF0000	1.46362028382674	1.58285553027415	11	11	BIC
#FF0000	1.58285553027415	2.89896807952735	12	12	BIC
#0000FF	-5.9870054495402	-3.86879375393078	30	30	learned
#0000FF	-3.86879375393078	-3.71454802402355	29	29	learned
#0000FF	-3.71454802402355	-3.4455053406258	28	28	learned
