colour	key	clickSelects	showSelected.variable	showSelected.value	PANEL	group
#FF0000	BIC	BIC	BIC.thresh	-5.579	1	1
#FF0000	BIC	BIC	BIC.thresh	-5.347	1	2
#FF0000	BIC	BIC	BIC.thresh	-4.986	1	3
#FF0000	BIC	BIC	BIC.thresh	-4.774	1	4
#FF0000	BIC	BIC	BIC.thresh	-4.529	1	5
#FF0000	BIC	BIC	BIC.thresh	-4.297	1	6
#FF0000	BIC	BIC	BIC.thresh	-4.271	1	7
#FF0000	BIC	BIC	BIC.thresh	-4.259	1	8
#FF0000	BIC	BIC	BIC.thresh	-4.202	1	9
#FF0000	BIC	BIC	BIC.thresh	-4.121	1	10
#FF0000	BIC	BIC	BIC.thresh	-4.074	1	11
#FF0000	BIC	BIC	BIC.thresh	-4.034	1	12
#FF0000	BIC	BIC	BIC.thresh	-3.727	1	13
#FF0000	BIC	BIC	BIC.thresh	-3.397	1	14
#FF0000	BIC	BIC	BIC.thresh	-3.321	1	15
#FF0000	BIC	BIC	BIC.thresh	-3.293	1	16
#FF0000	BIC	BIC	BIC.thresh	-3.196	1	17
#FF0000	BIC	BIC	BIC.thresh	-2.967	1	18
#FF0000	BIC	BIC	BIC.thresh	-2.825	1	19
#FF0000	BIC	BIC	BIC.thresh	-2.738	1	20
#FF0000	BIC	BIC	BIC.thresh	-2.636	1	21
#FF0000	BIC	BIC	BIC.thresh	-2.58	1	22
#FF0000	BIC	BIC	BIC.thresh	-2.54	1	23
#FF0000	BIC	BIC	BIC.thresh	-2.439	1	24
#FF0000	BIC	BIC	BIC.thresh	-2.267	1	25
#FF0000	BIC	BIC	BIC.thresh	-2.059	1	26
#FF0000	BIC	BIC	BIC.thresh	-1.777	1	27
#FF0000	BIC	BIC	BIC.thresh	-1.562	1	28
#FF0000	BIC	BIC	BIC.thresh	-1.308	1	29
#FF0000	BIC	BIC	BIC.thresh	-1.095	1	30
#FF0000	BIC	BIC	BIC.thresh	-0.995	1	31
#FF0000	BIC	BIC	BIC.thresh	-0.829	1	32
#FF0000	BIC	BIC	BIC.thresh	-0.676	1	33
#FF0000	BIC	BIC	BIC.thresh	-0.584	1	34
#FF0000	BIC	BIC	BIC.thresh	-0.434	1	35
#FF0000	BIC	BIC	BIC.thresh	-0.265	1	36
