colour	key	clickSelects	showSelected.variable	showSelected.value	PANEL	group
#FF0000	BIC	BIC	BIC.thresh	0.006	1	37
#FF0000	BIC	BIC	BIC.thresh	0.341	1	38
#FF0000	BIC	BIC	BIC.thresh	0.485	1	39
#FF0000	BIC	BIC	BIC.thresh	0.546	1	40
#FF0000	BIC	BIC	BIC.thresh	0.602	1	41
#FF0000	BIC	BIC	BIC.thresh	1.043	1	42
#FF0000	BIC	BIC	BIC.thresh	1.457	1	43
#FF0000	BIC	BIC	BIC.thresh	1.523	1	44
#FF0000	BIC	BIC	BIC.thresh	1.629	1	45
#0000FF	learned	learned	learned.thresh	-3.915	1	46
#0000FF	learned	learned	learned.thresh	-3.792	1	47
#0000FF	learned	learned	learned.thresh	-3.58	1	48
#0000FF	learned	learned	learned.thresh	-3.39	1	49
#0000FF	learned	learned	learned.thresh	-3.172	1	50
#0000FF	learned	learned	learned.thresh	-2.928	1	51
#0000FF	learned	learned	learned.thresh	-2.797	1	52
#0000FF	learned	learned	learned.thresh	-2.734	1	53
#0000FF	learned	learned	learned.thresh	-2.704	1	54
#0000FF	learned	learned	learned.thresh	-2.671	1	55
#0000FF	learned	learned	learned.thresh	-2.634	1	56
#0000FF	learned	learned	learned.thresh	-2.582	1	57
#0000FF	learned	learned	learned.thresh	-2.519	1	58
#0000FF	learned	learned	learned.thresh	-2.361	1	59
#0000FF	learned	learned	learned.thresh	-2.185	1	60
#0000FF	learned	learned	learned.thresh	-2.003	1	61
#0000FF	learned	learned	learned.thresh	-1.873	1	62
#0000FF	learned	learned	learned.thresh	-1.821	1	63
#0000FF	learned	learned	learned.thresh	-1.764	1	64
#0000FF	learned	learned	learned.thresh	-1.749	1	65
#0000FF	learned	learned	learned.thresh	-1.617	1	66
#0000FF	learned	learned	learned.thresh	-1.488	1	67
#0000FF	learned	learned	learned.thresh	-1.422	1	68
#0000FF	learned	learned	learned.thresh	-1.162	1	69
#0000FF	learned	learned	learned.thresh	-0.936	1	70
#0000FF	learned	learned	learned.thresh	-0.877	1	71
#0000FF	learned	learned	learned.thresh	-0.828	1	72
#0000FF	learned	learned	learned.thresh	-0.571	1	73
#0000FF	learned	learned	learned.thresh	-0.259	1	74
#0000FF	learned	learned	learned.thresh	-0.13	1	75
#0000FF	learned	learned	learned.thresh	0.037	1	76
#0000FF	learned	learned	learned.thresh	0.182	1	77
#0000FF	learned	learned	learned.thresh	0.28	1	78
#0000FF	learned	learned	learned.thresh	0.465	1	79
#0000FF	learned	learned	learned.thresh	0.645	1	80
#0000FF	learned	learned	learned.thresh	0.716	1	81
#0000FF	learned	learned	learned.thresh	0.932	1	82
#0000FF	learned	learned	learned.thresh	1.199	1	83
#0000FF	learned	learned	learned.thresh	1.267	1	84
#0000FF	learned	learned	learned.thresh	1.355	1	85
#0000FF	learned	learned	learned.thresh	1.545	1	86
#0000FF	learned	learned	learned.thresh	1.946	1	87
#0000FF	learned	learned	learned.thresh	2.339	1	88
#0000FF	learned	learned	learned.thresh	2.438	1	89
#0000FF	learned	learned	learned.thresh	2.491	1	90
#FF0000	BIC	BIC	BIC.thresh	-5.579	2	91
#FF0000	BIC	BIC	BIC.thresh	-5.347	2	92
#FF0000	BIC	BIC	BIC.thresh	-4.986	2	93
#FF0000	BIC	BIC	BIC.thresh	-4.774	2	94
#FF0000	BIC	BIC	BIC.thresh	-4.529	2	95
#FF0000	BIC	BIC	BIC.thresh	-4.297	2	96
#FF0000	BIC	BIC	BIC.thresh	-4.271	2	97
#FF0000	BIC	BIC	BIC.thresh	-4.259	2	98
#FF0000	BIC	BIC	BIC.thresh	-4.202	2	99
#FF0000	BIC	BIC	BIC.thresh	-4.121	2	100
#FF0000	BIC	BIC	BIC.thresh	-4.074	2	101
#FF0000	BIC	BIC	BIC.thresh	-4.034	2	102
#FF0000	BIC	BIC	BIC.thresh	-3.727	2	103
#FF0000	BIC	BIC	BIC.thresh	-3.397	2	104
#FF0000	BIC	BIC	BIC.thresh	-3.321	2	105
#FF0000	BIC	BIC	BIC.thresh	-3.293	2	106
#FF0000	BIC	BIC	BIC.thresh	-3.196	2	107
#FF0000	BIC	BIC	BIC.thresh	-2.967	2	108
#FF0000	BIC	BIC	BIC.thresh	-2.825	2	109
#FF0000	BIC	BIC	BIC.thresh	-2.738	2	110
#FF0000	BIC	BIC	BIC.thresh	-2.636	2	111
#FF0000	BIC	BIC	BIC.thresh	-2.58	2	112
#FF0000	BIC	BIC	BIC.thresh	-2.54	2	113
#FF0000	BIC	BIC	BIC.thresh	-2.439	2	114
#FF0000	BIC	BIC	BIC.thresh	-2.267	2	115
#FF0000	BIC	BIC	BIC.thresh	-2.059	2	116
#FF0000	BIC	BIC	BIC.thresh	-1.777	2	117
#FF0000	BIC	BIC	BIC.thresh	-1.562	2	118
#FF0000	BIC	BIC	BIC.thresh	-1.308	2	119
#FF0000	BIC	BIC	BIC.thresh	-1.095	2	120
#FF0000	BIC	BIC	BIC.thresh	-0.995	2	121
#FF0000	BIC	BIC	BIC.thresh	-0.829	2	122
#FF0000	BIC	BIC	BIC.thresh	-0.676	2	123
#FF0000	BIC	BIC	BIC.thresh	-0.584	2	124
#FF0000	BIC	BIC	BIC.thresh	-0.434	2	125
#FF0000	BIC	BIC	BIC.thresh	-0.265	2	126
#FF0000	BIC	BIC	BIC.thresh	0.006	2	127
#FF0000	BIC	BIC	BIC.thresh	0.341	2	128
#FF0000	BIC	BIC	BIC.thresh	0.485	2	129
#FF0000	BIC	BIC	BIC.thresh	0.546	2	130
#FF0000	BIC	BIC	BIC.thresh	0.602	2	131
#FF0000	BIC	BIC	BIC.thresh	1.043	2	132
#FF0000	BIC	BIC	BIC.thresh	1.457	2	133
#FF0000	BIC	BIC	BIC.thresh	1.523	2	134
#FF0000	BIC	BIC	BIC.thresh	1.629	2	135
#0000FF	learned	learned	learned.thresh	-3.915	2	136
#0000FF	learned	learned	learned.thresh	-3.792	2	137
#0000FF	learned	learned	learned.thresh	-3.58	2	138
#0000FF	learned	learned	learned.thresh	-3.39	2	139
#0000FF	learned	learned	learned.thresh	-3.172	2	140
#0000FF	learned	learned	learned.thresh	-2.928	2	141
#0000FF	learned	learned	learned.thresh	-2.797	2	142
#0000FF	learned	learned	learned.thresh	-2.734	2	143
#0000FF	learned	learned	learned.thresh	-2.704	2	144
#0000FF	learned	learned	learned.thresh	-2.671	2	145
#0000FF	learned	learned	learned.thresh	-2.634	2	146
#0000FF	learned	learned	learned.thresh	-2.582	2	147
#0000FF	learned	learned	learned.thresh	-2.519	2	148
#0000FF	learned	learned	learned.thresh	-2.361	2	149
#0000FF	learned	learned	learned.thresh	-2.185	2	150
#0000FF	learned	learned	learned.thresh	-2.003	2	151
#0000FF	learned	learned	learned.thresh	-1.873	2	152
#0000FF	learned	learned	learned.thresh	-1.821	2	153
#0000FF	learned	learned	learned.thresh	-1.764	2	154
#0000FF	learned	learned	learned.thresh	-1.749	2	155
#0000FF	learned	learned	learned.thresh	-1.617	2	156
#0000FF	learned	learned	learned.thresh	-1.488	2	157
#0000FF	learned	learned	learned.thresh	-1.422	2	158
#0000FF	learned	learned	learned.thresh	-1.162	2	159
#0000FF	learned	learned	learned.thresh	-0.936	2	160
#0000FF	learned	learned	learned.thresh	-0.877	2	161
#0000FF	learned	learned	learned.thresh	-0.828	2	162
#0000FF	learned	learned	learned.thresh	-0.571	2	163
#0000FF	learned	learned	learned.thresh	-0.259	2	164
#0000FF	learned	learned	learned.thresh	-0.13	2	165
#0000FF	learned	learned	learned.thresh	0.037	2	166
#0000FF	learned	learned	learned.thresh	0.182	2	167
#0000FF	learned	learned	learned.thresh	0.28	2	168
#0000FF	learned	learned	learned.thresh	0.465	2	169
#0000FF	learned	learned	learned.thresh	0.645	2	170
#0000FF	learned	learned	learned.thresh	0.716	2	171
#0000FF	learned	learned	learned.thresh	0.932	2	172
#0000FF	learned	learned	learned.thresh	1.199	2	173
#0000FF	learned	learned	learned.thresh	1.267	2	174
#0000FF	learned	learned	learned.thresh	1.355	2	175
#0000FF	learned	learned	learned.thresh	1.545	2	176
#0000FF	learned	learned	learned.thresh	1.946	2	177
#0000FF	learned	learned	learned.thresh	2.339	2	178
#0000FF	learned	learned	learned.thresh	2.438	2	179
#0000FF	learned	learned	learned.thresh	2.491	2	180
